,Baseline Models,,,,,,,,,,,,,,,,,,PCA,,,,,,,,,,,,,,,,,,PCA + Smote,,,,,,,,,,,,,,,,
,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,,,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,,,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,
,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score
,Gradient Boosting,0.55,0.75,0.63,0.44,0.35,0.39,0.74,0.73,0.73,0.64,0.58,0.61,0.59,0.64,0.64,0.63,,Gradient Boosting,0.53,0.62,0.57,0.29,0.09,0.13,0.66,0.82,0.73,0.61,0.49,0.51,0.48,0.55,0.61,0.56,,Gradient Boosting,0.5,0.69,0.58,0.36,0.17,0.24,0.72,0.80,0.76,0.63,0.53,0.55,0.52,0.6,0.63,0.6
,XGBoost,0.48,0.75,0.59,0.54,0.3,0.39,0.73,0.75,0.74,0.64,0.58,0.6,0.57,0.64,0.64,0.63,,XGBoost,0.55,0.69,0.61,0.44,0.17,0.25,0.71,0.84,0.77,0.65,0.57,0.57,0.54,0.62,0.65,0.61,,XGBoost,0.48,0.75,0.59,0.25,0.09,0.13,0.7,0.78,0.74,0.61,0.48,0.54,0.49,0.56,0.61,0.56
,AdaBoost,0.4,0.75,0.52,0.58,0.3,0.4,0.77,0.73,0.75,0.63,0.58,0.59,0.56,0.66,0.63,0.62,,AdaBoost,0.58,0.44,0.5,0.14,0.04,0.07,0.64,0.87,0.74,0.6,0.46,0.45,0.44,0.51,0.6,0.53,,AdaBoost,0.53,0.56,0.55,0.27,0.17,0.21,0.68,0.76,0.72,0.59,0.49,0.5,0.49,0.55,0.59,0.56
,Extra Trees,0.48,0.69,0.56,0.44,0.17,0.25,0.73,0.82,0.77,0.64,0.55,0.56,0.53,0.61,0.64,0.61,,Extra Trees,0.44,0.50,0.47,0.17,0.04,0.07,0.64,0.82,0.72,0.57,0.42,0.45,0.42,0.49,0.57,0.52,,Extra Trees,0.42,0.69,0.52,0.11,0.04,0.06,0.69,0.75,0.72,0.56,0.41,0.49,0.44,0.51,0.56,0.53
,Lightgbm,0.57,0.81,0.67,0.5,0.39,0.44,0.75,0.73,0.74,0.66,0.61,0.64,0.62,0.66,0.66,0.65,,Lightgbm,0.62,0.5,0.55,0.2,0.09,0.12,0.65,0.84,0.73,0.60,0.49,0.47,0.47,0.53,0.6,0.55,,Lightgbm,0.46,0.69,0.55,0.1,0.04,0.06,0.7,0.76,0.73,0.57,0.42,0.5,0.45,0.51,0.57,0.54
,SVM,0.5,0.75,0.6,0.33,0.09,0.14,0.69,0.80,0.74,0.62,0.51,0.55,0.49,0.57,0.62,0.57,,SVM,0.5,0.69,0.58,0.00,0.00,0.00,0.68,0.89,0.77,0.64,0.39,0.53,0.45,0.48,0.64,0.55,,SVM,0.48,0.62,0.54,0.00,0.00,0.00,0.66,0.80,0.72,0.57,0.38,0.48,0.42,0.47,0.57,0.51
,MLP,0.57,0.75,0.65,0.39,0.3,0.34,0.71,0.71,0.71,0.62,0.56,0.59,0.57,0.61,0.62,0.61,,MLP,0.52,0.75,0.62,0.29,0.17,0.22,0.7,0.73,0.71,0.6,0.5,0.55,0.52,0.57,0.6,0.58,,MLP,0.45,0.62,0.53,0.21,0.13,0.16,0.69,0.73,0.71,0.56,0.45,0.49,0.47,0.53,0.56,0.54
,CatBoost,0.52,0.75,0.62,0.62,0.35,0.44,0.76,0.80,0.78,0.68,0.63,0.63,0.61,0.68,0.68,0.67,,CatBoost,0.58,0.44,0.5,0.50,0.04,0.08,0.65,0.95,0.77,0.64,0.58,0.48,0.45,0.6,0.64,0.56,,CatBoost,0.46,0.69,0.55,0.17,0.04,0.07,0.67,0.78,0.72,0.59,0.43,0.5,0.45,0.51,0.59,0.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hyperparameter + SMOTE,,,,,,,,,,,,,,,,,,RFE,,,,,,,,,,,,,,,,,,RFE+smote                                                                                           ,,,,,,,,,,,,,,,,
,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,,,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,,,,0,,,1,,,2,,,,Macro Average,,,Weighted Average,,
,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,,,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score,Accuracy,Precison ,Recall ,F1 Score,Precison ,Recall ,F1 Score
,KNN ,0.41,0.69,0.51,0.17,0.09,0.11,0.64,0.64,0.64,0.51,0.4,0.47,0.42,0.48,0.51,0.49,,KNN ,0.39,0.88,0.54,1,0.04,0.08,0.79,0.82,0.8,0.64,0.73,0.58,0.48,0.77,0.64,0.58,,KNN ,0.39,0.88,0.54,0,0,0,0.71,0.71,0.71,0.56,0.37,0.53,0.42,0.48,0.56,0.51
,Naive Bayes,0.37,0.9,0.53,0.38,0.13,0.19,0.76,0.62,0.68,0.55,0.5,0.56,0.47,0.6,0.55,0.53,,Naive Bayes,0.32,0.9,0.48,0.67,0.09,0.15,0.77,0.62,0.69,0.54,0.59,0.55,0.44,0.67,0.54,0.52,,Naive Bayes,0.39,0.88,0.54,1,0.04,0.08,0.74,0.76,0.75,0.61,0.71,0.56,0.46,0.74,0.61,0.55
,Logistic Regression,0.48,0.75,0.59,0.70,0.30,0.42,0.75,0.8,0.77,0.67,0.64,0.62,0.59,0.69,0.67,0.66,,Logistic Regression,0.41,0.88,0.56,1.00,0.09,0.16,0.79,0.84,0.81,0.66,0.73,0.6,0.51,0.78,0.66,0.61,,Logistic Regression,0.39,0.88,0.54,1,0.04,0.08,0.74,0.76,0.75,0.61,0.71,0.56,0.46,0.74,0.61,0.55
,Decision Tree,0.43,0.62,0.51,0.18,0.17,0.18,0.69,0.62,0.65,0.51,0.44,0.47,0.45,0.52,0.51,0.51,,Decision Tree,0.41,0.88,0.56,0.60,0.13,0.21,0.8,0.8,0.8,0.65,0.6,0.6,0.52,0.68,0.65,0.62,,Decision Tree,0.39,0.88,0.54,0.24,0.17,0.2,0.73,0.55,0.62,0.51,0.45,0.53,0.45,0.55,0.51,0.51
